pc1	pc2	protein	pc4	ko	extra
df	oid	11961	loc	K06978	K06978; uncharacterized protein
df	oid	11962	loc	K01555	FAH, fahA; fumarylacetoacetase [EC:3.7.1.2]
df	oid	11963	loc		
df	oid	11964	loc		
df	oid	11965	loc	K15562	BUR1, SGV1; serine/threonine-protein kinase BUR1 [EC:2.7.11.22 2.7.11.23]
df	oid	11966	loc	K03122	TFIIA1, GTF2A1, TOA1; transcription initiation factor TFIIA large subunit
df	oid	11967	loc	K02134	ATPeF1D, ATP5D, ATP16; F-type H+-transporting ATPase subunit delta
df	oid	11968	loc		
df	oid	11969	loc	K11367	CHD1; chromodomain-helicase-DNA-binding protein 1 [EC:5.6.2.-]
df	oid	11970	loc	K10839	RAD23, HR23; UV excision repair protein RAD23
df	oid	11971	loc	K22063	ISCA1; iron-sulfur cluster assembly 1
df	oid	11972	loc		
df	oid	11973	loc	K01872	AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]
df	oid	11974	loc		
df	oid	11975	loc		
df	oid	11977	loc	K00235	SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]
df	oid	11978	loc	K09567	PPIH, CYPH; peptidyl-prolyl isomerase H (cyclophilin H) [EC:5.2.1.8]
df	oid	11979	loc		
df	oid	11981	loc	K09518	DNAJB12; DnaJ homolog subfamily B member 12
df	oid	11982	loc	K00844	HK; hexokinase [EC:2.7.1.1]
df	oid	11983	loc		
df	oid	11984	loc	K12587	MTR3, EXOSC6; exosome complex component MTR3
df	oid	11985	loc		
df	oid	11986	loc		
df	oid	11987	loc		
df	oid	11988	loc		
df	oid	11989	loc	K00252	GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]
df	oid	11990	loc	K08139	HXT; MFS transporter, SP family, sugar:H+ symporter
df	oid	11991	loc		
df	oid	11993	loc	K01176	AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]
df	oid	11994	loc		
df	oid	11995	loc		
df	oid	11996	loc	K10849	ERCC1; DNA excision repair protein ERCC-1
df	oid	12000	loc		
df	oid	12001	loc		
df	oid	12002	loc		
df	oid	12003	loc		
df	oid	12004	loc		
df	oid	12005	loc		
df	oid	12006	loc		
df	oid	12007	loc	K11204	GCLC; glutamate--cysteine ligase catalytic subunit [EC:6.3.2.2]
df	oid	12008	loc		
df	oid	12009	loc	K17615	PPG1; serine/threonine-protein phosphatase PPG1 [EC:3.1.3.16]
df	oid	12010	loc	K08818	CDC2L; cell division cycle 2-like [EC:2.7.11.22]
df	oid	12011	loc		
df	oid	12013	loc	K14439	SMARCAD1; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 [EC:5.6.2.-]
df	oid	12014	loc		
df	oid	12016	loc	K15448	TRM112, TRMT112; multifunctional methyltransferase subunit TRM112
df	oid	12017	loc		
df	oid	12018	loc		
df	oid	12020	loc	K17278	PGRMC1_2; membrane-associated progesterone receptor component
df	oid	12021	loc		
df	oid	12022	loc	K11204	GCLC; glutamate--cysteine ligase catalytic subunit [EC:6.3.2.2]
df	oid	12023	loc		
df	oid	12028	loc		
df	oid	12030	loc		
df	oid	12031	loc	K01738	cysK; cysteine synthase [EC:2.5.1.47]
df	oid	12032	loc	K15111	SLC25A26; solute carrier family 25 (mitochondrial S-adenosylmethionine transporter), member 26
df	oid	12033	loc		
df	oid	12034	loc	K16055	TPS; trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]
df	oid	12035	loc		
df	oid	12036	loc		
df	oid	12037	loc	K11251	H2A; histone H2A
df	oid	12038	loc		
df	oid	12039	loc	K07562	NMD3; 60S ribosomal export protein NMD3
df	oid	12040	loc		
df	oid	12041	loc	K11251	H2A; histone H2A
df	oid	12042	loc	K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
df	oid	12043	loc	K11251	H2A; histone H2A
df	oid	12044	loc		
df	oid	12045	loc		
df	oid	12046	loc		
df	oid	12047	loc		
df	oid	12050	loc	K07203	MTOR, FRAP, TOR; serine/threonine-protein kinase mTOR [EC:2.7.11.1]
df	oid	12051	loc	K00015	gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]
df	oid	12052	loc	K05955	FNTA; protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha [EC:2.5.1.58 2.5.1.59]
df	oid	12053	loc		
df	oid	12054	loc		
df	oid	12055	loc		
df	oid	12056	loc		
df	oid	12058	loc		
df	oid	12059	loc		
df	oid	12060	loc	K04371	ERK, MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24]
df	oid	12061	loc		
df	oid	12062	loc	K18334	fucD; L-fuconate dehydratase [EC:4.2.1.68]
df	oid	12063	loc		
df	oid	12064	loc		
df	oid	12065	loc	K04371	ERK, MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24]
df	oid	12066	loc	K10428	DCTN6; dynactin 6
df	oid	12067	loc		
df	oid	12068	loc	K03020	RPAC2, RPC19, POLR1D; DNA-directed RNA polymerases I and III subunit RPAC2
df	oid	12070	loc		
df	oid	12071	loc		
df	oid	12074	loc		
df	oid	12075	loc		
df	oid	12077	loc		
df	oid	12078	loc		
df	oid	12079	loc		
df	oid	12080	loc	K00003	hom; homoserine dehydrogenase [EC:1.1.1.3]
df	oid	12081	loc		
df	oid	12082	loc	K14006	SEC23; protein transport protein SEC23
df	oid	12083	loc	K11713	PGTB1; geranylgeranyl transferase type-1 subunit beta [EC:2.5.1.59]
df	oid	12084	loc	K13348	MPV17; protein Mpv17
df	oid	12085	loc	K03979	obgE, cgtA, MTG2; GTPase [EC:3.6.5.-]
df	oid	12086	loc		
df	oid	12087	loc	K04043	dnaK, HSPA9; molecular chaperone DnaK
df	oid	12088	loc		
df	oid	12089	loc	K14544	UTP22, NOL6; U3 small nucleolar RNA-associated protein 22
df	oid	12090	loc	K11251	H2A; histone H2A
df	oid	12091	loc	K11252	H2B; histone H2B
df	oid	12092	loc		
df	oid	12093	loc	K18168	SDHAF2, SDH5; succinate dehydrogenase assembly factor 2
df	oid	12094	loc	K04082	hscB, HSCB, HSC20; molecular chaperone HscB
df	oid	12095	loc		
df	oid	12096	loc	K11142	LAP3; cytosol aminopeptidase [EC:3.4.11.1 3.4.11.5]
df	oid	12097	loc		
df	oid	12098	loc		
df	oid	12099	loc	K00820	glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]
df	oid	12100	loc	K02541	MCM3; DNA replication licensing factor MCM3 [EC:5.6.2.3]
df	oid	12101	loc		
df	oid	12102	loc		
df	oid	12103	loc		
df	oid	12104	loc	K00573	E2.1.1.77, pcm; protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]
df	oid	12105	loc		
df	oid	12106	loc	K06689	UBE2D, UBC4, UBC5; ubiquitin-conjugating enzyme E2 D [EC:2.3.2.23]
df	oid	12107	loc		
df	oid	12109	loc		
df	oid	12110	loc		
df	oid	12111	loc	K15289	SLC35F5; solute carrier family 35, member F5
df	oid	12112	loc		
df	oid	12113	loc		
df	oid	12116	loc	K00658	DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
df	oid	12117	loc		
df	oid	12118	loc	K01591	pyrF; orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]
df	oid	12119	loc	K11380	NTO1; NuA3 HAT complex component NTO1
df	oid	12121	loc	K00728	POMT, pmt; dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]
df	oid	12122	loc	K01641	HMGCS; hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]
df	oid	12123	loc	K01893	NARS, asnS; asparaginyl-tRNA synthetase [EC:6.1.1.22]
df	oid	12124	loc	K27383	NCE101, NCE1; non-classical export protein 1
df	oid	12126	loc		
df	oid	12128	loc		
df	oid	12129	loc		
df	oid	12132	loc	K11808	ADE2; phosphoribosylaminoimidazole carboxylase [EC:4.1.1.21]
df	oid	12133	loc	K02902	RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28
df	oid	12134	loc		
df	oid	12135	loc		
df	oid	12136	loc		
df	oid	12137	loc	K10669	TRPT1, TPT1; 2'-phosphotransferase [EC:2.7.1.160]
df	oid	12138	loc	K12606	RCD1, CNOT9, CAF40; CCR4-NOT transcription complex subunit 9
df	oid	12139	loc	K02866	RP-L10e, RPL10; large subunit ribosomal protein L10e
df	oid	12140	loc		
df	oid	12141	loc		
df	oid	12142	loc	K01764	HCCS; cytochrome c heme-lyase [EC:4.4.1.17]
df	oid	12143	loc	K23679	PQLC1, SLC66A2; solute carrier family 66, member 2
df	oid	12144	loc		
df	oid	12145	loc	K20346	TMED4_9_11; p24 family protein alpha
df	oid	12146	loc	K21813	ENDOV; endonuclease V [EC:3.1.26.-]
df	oid	12147	loc	K11572	SPC19; DASH complex subunit SPC19
df	oid	12148	loc		
df	oid	12149	loc	K12821	PRPF40, PRP40; pre-mRNA-processing factor 40
df	oid	12150	loc	K04354	PPP2R2; serine/threonine-protein phosphatase 2A regulatory subunit B
df	oid	12151	loc		
df	oid	12152	loc	K24758	WDR89; WD repeat-containing protein 89
df	oid	12153	loc	K15178	RTF1; RNA polymerase-associated protein RTF1
df	oid	12154	loc	K00006	GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
df	oid	12155	loc	K01626	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]
df	oid	12157	loc		
df	oid	12158	loc	K07151	STT3; dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]
df	oid	12159	loc		
df	oid	12160	loc	K12811	DDX46, PRP5; ATP-dependent RNA helicase DDX46/PRP5 [EC:5.6.2.7]
df	oid	12161	loc		
df	oid	12162	loc	K18185	COX23; cytochrome c oxidase assembly protein subunit 23
df	oid	12163	loc		
df	oid	12164	loc		
df	oid	12166	loc	K14771	NOC4, UTP19; U3 small nucleolar RNA-associated protein 19
df	oid	12167	loc		
df	oid	12168	loc	K14715	SLC39A9, ZIP9; solute carrier family 39 (zinc transporter), member 9
df	oid	12169	loc		
df	oid	12170	loc	K01939	purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]
df	oid	12172	loc		
df	oid	12173	loc		
df	oid	12174	loc		
df	oid	12175	loc		
df	oid	12177	loc		
df	oid	12178	loc	K12869	CRN, CRNKL1, CLF1, SYF3; crooked neck
df	oid	12180	loc		
df	oid	12183	loc		
df	oid	12184	loc	K26680	DOP1, DOPEY; protein dopey
df	oid	12186	loc	K09650	PARL, PSARL, PCP1; rhomboid-like protein [EC:3.4.21.105]
df	oid	12187	loc		
df	oid	12188	loc		
df	oid	12189	loc	K19001	HELLS, DDM1; ATP-dependent DNA helicase
df	oid	12190	loc	K26171	TMEM97, S2R; sigma intracellular receptor 2
df	oid	12192	loc		
df	oid	12193	loc	K02941	RP-LP0, RPLP0; large subunit ribosomal protein LP0
df	oid	12195	loc		
df	oid	12196	loc		
df	oid	12197	loc		
df	oid	12198	loc		
df	oid	12199	loc		
df	oid	12200	loc		
df	oid	12201	loc	K15196	BRF1, GTF3B; transcription factor IIIB 90 kDa subunit
df	oid	12203	loc		
df	oid	12205	loc	K01044	CES1; carboxylesterase 1 [EC:3.1.1.1]
df	oid	12206	loc		
df	oid	12207	loc		
df	oid	12208	loc	K18849	BMT2; 25S rRNA (adenine2142-N1)-methyltransferase [EC:2.1.1.286]
df	oid	12209	loc	K13431	SRPR; signal recognition particle receptor subunit alpha
df	oid	12210	loc	K18179	COA6; cytochrome c oxidase assembly factor 6
df	oid	12211	loc		
df	oid	12212	loc		
df	oid	12213	loc		
df	oid	12214	loc		
df	oid	12216	loc		
df	oid	12219	loc		
df	oid	12220	loc		
df	oid	12221	loc	K08192	DAL5; MFS transporter, ACS family, DAL5 transporter family protein
df	oid	12226	loc		
df	oid	12227	loc		
df	oid	12228	loc		
df	oid	12229	loc		
df	oid	12230	loc		
df	oid	12231	loc	K10870	RAD51L2, RAD51C; RAD51-like protein 2
df	oid	12232	loc	K08737	MSH6; DNA mismatch repair protein MSH6
df	oid	12233	loc		
df	oid	12235	loc		
df	oid	12236	loc	K19800	SCH9; serine/threonine protein kinase SCH9 [EC:2.7.11.1]
df	oid	12237	loc	K21768	TBCE; tubulin-specific chaperone E
df	oid	12239	loc		
df	oid	12240	loc		
df	oid	12241	loc		
df	oid	12242	loc		
df	oid	12243	loc		
df	oid	12244	loc		
df	oid	12246	loc		
df	oid	12248	loc	K00262	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
df	oid	12251	loc	K18706	XPT1; 3-O-alpha-D-mannopyranosyl-alpha-D-mannopyranose xylosylphosphotransferase [EC:2.7.8.32]
df	oid	12253	loc		
df	oid	12254	loc	K14298	RAE1, GLE2; mRNA export factor
df	oid	12255	loc	K23785	RCK2, CLK1; serine/threonine-protein kinase RCK2 [EC:2.7.11.1]
df	oid	12256	loc		
df	oid	12257	loc	K00587	ICMT, STE14; protein-S-isoprenylcysteine O-methyltransferase [EC:2.1.1.100]
df	oid	12258	loc		
df	oid	12259	loc		
df	oid	12260	loc		
df	oid	12261	loc	K07375	TUBB; tubulin beta
df	oid	12262	loc		
df	oid	12265	loc	K23948	E1.6.5.9; NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]
df	oid	12266	loc		
df	oid	12269	loc	K00863	DAK, TKFC; triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]
df	oid	12270	loc	K12471	EPN; epsin
df	oid	12271	loc	K01273	DPEP; membrane dipeptidase [EC:3.4.13.19]
df	oid	12272	loc		
df	oid	12273	loc		
df	oid	12274	loc	K03495	gidA, mnmG, MTO1; tRNA uridine 5-carboxymethylaminomethyl modification enzyme
df	oid	12276	loc		
df	oid	12277	loc		
df	oid	12279	loc	K18655	DDX19, DBP5; ATP-dependent RNA helicase DDX19/DBP5 [EC:5.6.2.7]
df	oid	12280	loc		
df	oid	12281	loc		
df	oid	12282	loc		
df	oid	12283	loc	K01062	PLA2G7, PAFAH; platelet-activating factor acetylhydrolase [EC:3.1.1.47]
df	oid	12284	loc	K02736	PSMB4; 20S proteasome subunit beta 7 [EC:3.4.25.1]
df	oid	12285	loc	K11368	ENY2, DC6, SUS1; enhancer of yellow 2 transcription factor
df	oid	12286	loc		
df	oid	12287	loc	K22746	CIAPIN1, DRE2; anamorsin
df	oid	12288	loc		
df	oid	12290	loc	K11099	SNRPG, SMG; small nuclear ribonucleoprotein G
df	oid	12291	loc	K01465	URA4, pyrC; dihydroorotase [EC:3.5.2.3]
df	oid	12292	loc	K25201	IPO11, RANBP11; importin-11
df	oid	12294	loc		
df	oid	12295	loc	K10734	GINS3; GINS complex subunit 3
df	oid	12296	loc	K01417	MEP; extracellular elastinolytic metalloproteinase [EC:3.4.24.-]
df	oid	12299	loc		
df	oid	12300	loc	K18532	AK6, FAP7; adenylate kinase [EC:2.7.4.3]
df	oid	12302	loc	K01955	carB, CPA2; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]
df	oid	12303	loc		
df	oid	12305	loc	K09484	QUTB, QA-3; quinate dehydrogenase [EC:1.1.1.24]
df	oid	12306	loc		
df	oid	12307	loc		
df	oid	12308	loc	K02963	RP-S18, MRPS18, rpsR; small subunit ribosomal protein S18
df	oid	12310	loc	K20298	VPS52; vacuolar protein sorting-associated protein 52
df	oid	12311	loc	K10843	ERCC3, XPB; DNA excision repair protein ERCC-3 [EC:5.6.2.4]
df	oid	12312	loc		
df	oid	12313	loc		
df	oid	12314	loc	K06176	truD, PUS7; tRNA pseudouridine13 synthase [EC:5.4.99.27]
df	oid	12315	loc		
df	oid	12317	loc		
df	oid	12318	loc	K03456	PPP2R1; serine/threonine-protein phosphatase 2A regulatory subunit A
df	oid	12319	loc	K02967	RP-S2, MRPS2, rpsB; small subunit ribosomal protein S2
df	oid	12320	loc		
df	oid	12321	loc		
df	oid	12322	loc		
df	oid	12323	loc	K02355	fusA, GFM, EFG; elongation factor G
df	oid	12324	loc		
df	oid	12325	loc	K08197	ARN; MFS transporter, SIT family, siderophore-iron:H+ symporter
df	oid	12327	loc	K10401	KIF18A; kinesin family member 18A
df	oid	12328	loc	K14284	NXF, TAP, MEX67; nuclear RNA export factor
df	oid	12329	loc		
df	oid	12330	loc	K09647	IMP1; mitochondrial inner membrane protease subunit 1 [EC:3.4.21.-]
df	oid	12331	loc		
df	oid	12334	loc	K06047	TTL; tubulin---tyrosine ligase [EC:6.3.2.25]
df	oid	12335	loc	K26109	NRDE2; nuclear exosome regulator NRDE2
df	oid	12336	loc		
df	oid	12339	loc	K02964	RP-S18e, RPS18; small subunit ribosomal protein S18e
df	oid	12340	loc	K11594	DDX3X, bel; ATP-dependent RNA helicase DDX3X [EC:5.6.2.7]
df	oid	12341	loc		
df	oid	12342	loc		
df	oid	12343	loc	K20305	TRAPPC8, TRS85; trafficking protein particle complex subunit 8
df	oid	12344	loc		
df	oid	12345	loc		
df	oid	12347	loc		
df	oid	12348	loc		
df	oid	12349	loc		
df	oid	12350	loc	K19525	VPS13A_C; vacuolar protein sorting-associated protein 13A/C
df	oid	12351	loc		
df	oid	12353	loc	K03448	FEN2, LIZ1; MFS transporter, ACS family, pantothenate transporter
df	oid	12354	loc		
df	oid	12355	loc		
df	oid	12358	loc	K07561	DPH1, dph2; 2-(3-amino-3-carboxypropyl)histidine synthase [EC:2.5.1.108]
df	oid	12359	loc	K28063	ESYT, TCB, SYT; extended synaptotagmin
df	oid	12360	loc		
df	oid	12361	loc		
df	oid	12362	loc		
df	oid	12366	loc		
df	oid	12367	loc	K24976	TRK, HKT; Trk/Ktr/HKT type cation transporter
df	oid	12368	loc		
df	oid	12370	loc		
df	oid	12371	loc		
df	oid	12372	loc	K24976	TRK, HKT; Trk/Ktr/HKT type cation transporter
df	oid	12373	loc		
df	oid	12375	loc	K12373	HEXA_B; hexosaminidase [EC:3.2.1.52]
df	oid	12376	loc	K03695	clpB; ATP-dependent Clp protease ATP-binding subunit ClpB
df	oid	12377	loc		
df	oid	12378	loc		
df	oid	12379	loc		
df	oid	12380	loc	K25058	CACTIN; cactin
df	oid	12381	loc		
df	oid	12382	loc	K08711	PDR, CDR1; ATP-binding cassette, subfamily G (WHITE), member 2, PDR
df	oid	12383	loc		
df	oid	12384	loc		
df	oid	12385	loc	K13333	PLB; lysophospholipase [EC:3.1.1.5]
df	oid	12386	loc	K09500	CCT8; T-complex protein 1 subunit theta
df	oid	12387	loc	K15116	SLC25A33_36, RIM2; solute carrier family 25, member 33/36
df	oid	12388	loc	K28027	TPO2_3; MFS transporter, DHA1 family, spermine transporter
df	oid	12389	loc		
df	oid	12390	loc	K23010	OMA1; metalloendopeptidase OMA1, mitochondrial [EC:3.4.24.-]
df	oid	12391	loc	K01061	E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45]
df	oid	12392	loc		
df	oid	12393	loc	K01834	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
df	oid	12394	loc		
df	oid	12395	loc	K12863	CWC15; protein CWC15
df	oid	12396	loc	K02328	POLD2; DNA polymerase delta subunit 2
df	oid	12397	loc		
df	oid	12399	loc	K08726	EPHX2; soluble epoxide hydrolase / lipid-phosphate phosphatase [EC:3.3.2.10 3.1.3.76]
df	oid	12400	loc		
df	oid	12401	loc	K17675	SUPV3L1, SUV3; ATP-dependent RNA helicase SUPV3L1/SUV3 [EC:5.6.2.6]
df	oid	12402	loc	K13181	DDX27, DRS1; ATP-dependent RNA helicase DDX27 [EC:5.6.2.7]
df	oid	12405	loc		
df	oid	12406	loc	K10772	APEX2; AP endonuclease 2 [EC:3.1.11.2]
df	oid	12407	loc	K14265	Tam1; tryptophan aminotransferase [EC:2.6.1.27]
df	oid	12408	loc	K06997	yggS, PROSC; PLP dependent protein
df	oid	12409	loc		
df	oid	12410	loc	K11206	NIT1, ybeM; deaminated glutathione amidase [EC:3.5.1.128]
df	oid	12414	loc		
df	oid	12417	loc		
df	oid	12418	loc	K02885	RP-L19e, RPL19; large subunit ribosomal protein L19e
df	oid	12419	loc		
df	oid	12420	loc		
df	oid	12421	loc	K00602	purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]
df	oid	12422	loc		
df	oid	12423	loc		
df	oid	12424	loc		
df	oid	12426	loc	K15902	LAGE3, PCC1; EKC/KEOPS complex subunit LAGE3/PCC1
df	oid	12428	loc	K01537	ATP2C; P-type Ca2+ transporter type 2C [EC:7.2.2.10]
df	oid	12429	loc		
df	oid	12430	loc		
df	oid	12431	loc	K10777	LIG4, DNL4; DNA ligase 4 [EC:6.5.1.1]
df	oid	12432	loc		
df	oid	12433	loc		
df	oid	12434	loc	K03426	NUDT12_13, nudC; NAD+ diphosphatase [EC:3.6.1.22]
df	oid	12435	loc		
df	oid	12436	loc	K02575	NRT2, narK, nrtP, nasA; MFS transporter, NNP family, nitrate/nitrite transporter
df	oid	12437	loc	K05288	PIGO; GPI ethanolamine phosphate transferase 3 subunit O [EC:2.7.-.-]
df	oid	12438	loc	K02877	RP-L15e, RPL15; large subunit ribosomal protein L15e
df	oid	12439	loc		
df	oid	12440	loc	K16575	ACTR1, ARP1; centractin
df	oid	12441	loc		
df	oid	12442	loc		
df	oid	12444	loc		
df	oid	12445	loc	K07101	K07101; uncharacterized protein
df	oid	12446	loc	K15113	SLC25A28_37, MFRN; solute carrier family 25 (mitochondrial iron transporter), member 28/37
df	oid	12447	loc		
df	oid	12449	loc		
df	oid	12450	loc		
df	oid	12451	loc	K03593	mrp, NUBPL; ATP-binding protein involved in chromosome partitioning
df	oid	12452	loc		
df	oid	12455	loc	K09252	FAEB; feruloyl esterase [EC:3.1.1.73]
df	oid	12458	loc	K18327	REXO4, REX4; RNA exonuclease 4 [EC:3.1.-.-]
df	oid	12459	loc		
df	oid	12460	loc	K15462	KTI13, ATS1; protein ATS1
df	oid	12462	loc		
df	oid	12465	loc	K01382	CTSE; cathepsin E [EC:3.4.23.34]
df	oid	12466	loc	K19950	SEC9; protein transport protein SEC9
df	oid	12467	loc		
df	oid	12468	loc	K01253	EPHX1; microsomal epoxide hydrolase [EC:3.3.2.9]
df	oid	12470	loc	K01889	FARSA, pheS; phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]
df	oid	12471	loc	K00326	CYB5R; cytochrome-b5 reductase [EC:1.6.2.2]
df	oid	12472	loc	K06664	PEX2, PXMP3; peroxin-2
df	oid	12473	loc	K15306	RANBP1; Ran-binding protein 1
df	oid	12474	loc		
df	oid	12475	loc	K00621	GNPNAT1, GNA1; glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]
df	oid	12476	loc	K02619	pabC; 4-amino-4-deoxychorismate lyase [EC:4.1.3.38]
df	oid	12478	loc		
df	oid	12479	loc	K20296	ANG2, VPS51; vacuolar protein sorting-associated protein 51
df	oid	12480	loc	K10968	MNT2; alpha 1,3-mannosyltransferase [EC:2.4.1.-]
df	oid	12481	loc	K02993	RP-S7e, RPS7; small subunit ribosomal protein S7e
df	oid	12482	loc	K03948	NDUFA4; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 4
df	oid	12483	loc		
df	oid	12485	loc		
df	oid	12487	loc		
df	oid	12489	loc	K26752	TVP23; golgi apparatus membrane protein TVP23
df	oid	12491	loc		
df	oid	12492	loc		
df	oid	12493	loc		
df	oid	12494	loc		
df	oid	12495	loc	K00793	ribE, RIB5; riboflavin synthase [EC:2.5.1.9]
df	oid	12496	loc	K02926	RP-L4, MRPL4, rplD; large subunit ribosomal protein L4
df	oid	12497	loc	K03949	NDUFA5; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5
df	oid	12498	loc	K14812	NGL2; RNA exonuclease NGL2 [EC:3.1.-.-]
df	oid	12499	loc	K24943	TTC39; tetratricopeptide repeat protein 39
df	oid	12502	loc		
df	oid	12504	loc	K19838	SST2; GTPase-activating protein SST2
df	oid	12506	loc		
df	oid	12507	loc		
df	oid	12508	loc		
df	oid	12511	loc		
df	oid	12512	loc	K25656	cry, CRYD; cryptochrome
df	oid	12513	loc	K00641	metX; homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]
df	oid	12515	loc		
df	oid	12516	loc	K00685	ATE1; arginyl-tRNA---protein transferase [EC:2.3.2.8]
df	oid	12518	loc	K15109	SLC25A20, CACT, CAC, CRC1; solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20
df	oid	12519	loc		
df	oid	12520	loc	K15026	EIF2A; translation initiation factor 2A
df	oid	12521	loc	K20347	TMED2, EMP24; p24 family protein beta-1
df	oid	12522	loc		
df	oid	12523	loc	K12492	ARFGAP1; ADP-ribosylation factor GTPase-activating protein 1
df	oid	12524	loc		
df	oid	12525	loc	K14840	NOP53, GLTSCR2; nucleolar protein 53
df	oid	12526	loc	K11396	YNG2, EAF4; chromatin modification-related protein YNG2
df	oid	12527	loc	K03002	RPA2, POLR1B; DNA-directed RNA polymerase I subunit RPA2 [EC:2.7.7.6]
df	oid	12529	loc		
df	oid	12531	loc		
df	oid	12532	loc	K05657	ABCB10; ATP-binding cassette, subfamily B (MDR/TAP), member 10
df	oid	12534	loc		
df	oid	12536	loc	K09487	HSP90B, TRA1; heat shock protein 90kDa beta
df	oid	12537	loc	K13299	GSTK1; glutathione S-transferase kappa 1 [EC:2.5.1.18]
df	oid	12538	loc		
df	oid	12539	loc	K01183	E3.2.1.14; chitinase [EC:3.2.1.14]
df	oid	12540	loc	K01426	E3.5.1.4, amiE; amidase [EC:3.5.1.4]
df	oid	12541	loc		
df	oid	12542	loc		
df	oid	12543	loc		
df	oid	12544	loc		
df	oid	12545	loc	K15356	GONST1_2, VRG4; GDP-mannose transporter
df	oid	12546	loc		
df	oid	12547	loc		
df	oid	12548	loc	K03260	EIF4G; translation initiation factor 4G
df	oid	12550	loc	K13288	orn, REX2, REXO2; oligoribonuclease [EC:3.1.-.-]
df	oid	12551	loc	K01497	ribA, RIB1; GTP cyclohydrolase II [EC:3.5.4.25]
df	oid	12552	loc	K20989	DUR3; urea-proton symporter
df	oid	12553	loc	K01426	E3.5.1.4, amiE; amidase [EC:3.5.1.4]
df	oid	12554	loc	K01183	E3.2.1.14; chitinase [EC:3.2.1.14]
df	oid	12555	loc	K01897	ACSL, fadD; long-chain-fatty-acid---CoA ligase [EC:6.2.1.3]
df	oid	12556	loc		
df	oid	12557	loc		
df	oid	12559	loc		
df	oid	12560	loc	K04797	pfdA, PFDN5; prefoldin alpha subunit
df	oid	12562	loc	K01934	MTHFS; 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]
df	oid	12563	loc	K14860	TMA16; translation machinery-associated protein 16
df	oid	12564	loc	K12343	SRD5A1; 3-oxo-5-alpha-steroid 4-dehydrogenase 1 [EC:1.3.1.22]
df	oid	12565	loc		
df	oid	12566	loc	K00166	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]
df	oid	12567	loc		
df	oid	12569	loc	K02913	RP-L33, MRPL33, rpmG; large subunit ribosomal protein L33
df	oid	12570	loc	K00249	ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]
df	oid	12571	loc	K19842	ROM1_2; RHO1 GDP-GTP exchange protein 1/2
df	oid	12572	loc	K15292	STXBP1, MUNC18-1; syntaxin-binding protein 1
df	oid	12573	loc		
df	oid	12575	loc		
df	oid	12576	loc	K17919	SNX4; sorting nexin-4
